locus_tag	common gene name	strand	start	end	EEP	MEP	LEP	ESP (biological replicate 1)	ESP (biological replicate 2)	ESP average (biological replicate 1 and 2)	LSP (biological replicate 1)	LSP (biological replicate 2)	LSP average (biological replicate 1 and 2)
SL1344_2339	pdxB	-	2480071	2481207	106	102	75	36	42	39	2	2	2
SL1344_2340	div	+	2481311	2482312	23	21	13	7	8	8	1	1	1
SL1344_2341		-	2482309	2483487	24	22	24	15	16	16	1	1	1
SL1344_2342		-	2483667	2484041	0	1	2	1	2	1	1	1	1
SL1344_2343		+	2484214	2484462	7	3	5	1	3	2	3	1	2
SL1344_2344		+	2484631	2484999	0	2	1	2	1	1	2	2	2
SL1344_2345		+	2484999	2485517	1	1	1	0	1	0	0	0	0
SL1344_2346		-	2485584	2486240	33	25	13	5	8	7	4	3	3
SL1344_2347	fabB	-	2486338	2487552	314	586	75	132	151	141	21	16	18
SL1344_2348	mnmC	+	2487652	2489712	35	48	19	24	24	24	3	3	3
SL1344_2349	yfcL	-	2489764	2490039	177	219	123	79	78	78	88	56	72
SL1344_2350	yfcM	-	2490072	2490620	122	113	50	14	12	13	1	0	1
SL1344_2351	yfcA	-	2490620	2491429	46	39	25	6	7	7	0	0	0
SL1344_2352	mepA	-	2491429	2492253	55	55	36	19	19	19	2	1	1
SL1344_2353	aroC	-	2492257	2493342	66	65	45	18	21	20	2	2	2
SL1344_2354	yfcB	-	2493378	2494310	141	115	74	30	28	29	2	2	2
SL1344_2355	yfcN	+	2494476	2495027	21	17	11	10	10	10	32	7	19
SL1344_2356	sixA	-	2495127	2495612	253	197	185	144	136	140	106	91	98
SL1344_2357	fadJ	-	2495821	2497968	5	10	19	28	23	25	9	6	8
SL1344_2358	fadI	-	2497968	2499278	1	2	8	10	4	7	2	2	2
SL1344_2359	yfcZ	-	2499456	2499740	68	131	76	128	136	132	8	8	8
SL1344_2360	fadL	+	2500105	2501418	143	82	129	62	44	53	40	39	40
SL1344_2361	vacJ	-	2501479	2502234	121	158	128	75	79	77	19	17	18
SL1344_2362	yfdC	+	2502523	2503464	3	4	15	21	20	20	11	7	9
SL1344_2363	pgtE	-	2503771	2504709	7	5	10	21	22	22	8	5	7
STnc3750		-	2503803	2503726	6	14	49	86	87	87	175	119	147
SL1344_2364	pgtA	-	2504977	2506224	7	9	12	13	13	13	1	1	1
SL1344_2365	pgtB	-	2506214	2508220	7	9	12	11	14	12	1	1	1
SL1344_2366	pgtC	-	2508217	2509410	2	3	8	6	6	6	3	2	2
SL1344_2367	pgtP	+	2509846	2511237	2	1	4	4	4	4	45	29	37
SL1344_2368		-	2511513	2511755	16	18	28	42	43	43	47	35	41
SL1344_2369	lpxP	+	2512277	2513197	10	4	5	2	3	2	2	2	2
SL1344_2369A	ypdK	+	2513600	2513671	240	532	600	164	309	237	346	340	343
SL1344_2370	yfdZ	-	2513721	2514959	50	48	50	38	39	39	7	7	7
tpke70		-	2513722	2513324	7	11	10	10	10	10	6	6	6
STnc3760		+	2515508	2515633	35	60	52	65	62	63	20	15	18
SL1344_2371	glk	-	2515680	2516645	17	42	52	49	46	48	9	7	8
SL1344_2372		+	2516849	2518084	5	8	9	11	12	11	3	2	3
SL1344_2373		-	2518104	2519756	2	5	10	13	12	13	35	28	31
SL1344_2374		+	2519936	2520934	11	17	15	14	15	15	15	8	11
SL1344_2375	ypeC	+	2521048	2521374	18	28	46	68	51	60	19	18	18
SL1344_2376	mntH	-	2521435	2522676	16	16	19	25	18	21	40	31	35
SL1344_2377	nupC	+	2523019	2524221	107	246	117	45	42	43	34	32	33
SL1344_2378	yfeA	-	2524274	2526463	18	16	27	24	26	25	3	2	2
SL1344_2379	yfeC	+	2527069	2527431	47	69	130	126	108	117	78	34	56
SL1344_2380	yfeD	+	2527433	2527825	27	47	114	90	88	89	3	4	3
SL1344_2381	gltX	-	2527879	2529294	105	122	78	35	41	38	5	5	5
SL1344_2382	xapR	-	2530110	2530994	3	2	4	4	5	4	1	1	1
SL1344_2383		-	2531046	2531204	2	5	7	2	2	2	7	3	5
SL1344_2384	xapB	-	2531263	2532519	3	4	5	8	5	7	4	3	4
SL1344_2385	flhAb	-	2532574	2533407	1	1	1	1	1	1	1	0	1
SL1344_2386	yfeN	+	2533663	2534424	3	3	4	4	4	4	3	3	3
SL1344_2387	yfeR	-	2534486	2535412	5	5	7	8	6	7	2	1	1
SL1344_2388	yfeH	+	2535502	2536500	21	21	16	14	14	14	6	4	5
SL1344_2389		-	2536497	2536724	92	59	39	28	30	29	1	1	1
SL1344_2390	lig	-	2536717	2538732	57	40	32	16	19	17	1	1	1
SL1344_2391	zipA	-	2538804	2539790	257	237	226	161	169	165	35	29	32
SL1344_2392	cysZ	+	2540022	2540783	22	26	26	23	22	22	2	2	2
SL1344_2393	cysK	+	2540947	2541918	25	31	40	125	81	103	17	13	15
SL1344_2394	ptsH	+	2542302	2542559	770	356	274	269	224	247	62	37	50
SL1344_2395	ptsI	+	2542608	2544335	699	350	263	238	281	259	29	25	27
SL1344_2396	crr	+	2544376	2544885	941	597	400	478	499	489	138	184	161
SL1344_2397		-	2545034	2545273	16	16	11	8	5	7	0	0	0
SL1344_2398	pdxK	-	2545270	2546136	20	19	14	9	7	8	1	1	1
SL1344_2399	ptsJ	+	2546219	2547511	11	11	9	7	6	6	1	1	1
SL1344_2400	yfeJ	+	2547526	2548245	10	9	5	5	4	5	0	0	0
SL1344_2401	yfeK	+	2548304	2548684	14	18	10	8	5	6	1	0	1
SL1344_2402	yfeL	+	2548697	2549236	19	23	22	16	13	15	11	7	9
SL1344_2403	cysM	-	2549367	2550278	17	13	20	17	22	20	1	2	1
SL1344_2404	cysA	-	2550346	2551443	3	3	4	17	19	18	1	1	1
SL1344_2405	cysW	-	2551433	2552308	3	2	2	14	8	11	1	0	1
SL1344_2406	cysU	-	2552308	2553141	2	2	2	12	3	7	1	1	1
SL1344_2407	cysP	-	2553141	2554157	1	2	3	32	2	17	2	2	2
SL1344_2408	ucpA	-	2554315	2555106	15	71	210	223	187	205	33	32	32
SL1344_2409		-	2555344	2556243	64	67	54	35	46	41	2	1	1
SL1344_2410	yfeY	-	2556338	2556913	36	28	27	17	17	17	1	1	1
SL1344_2411	yfeZ	-	2556975	2557424	37	39	43	21	31	26	3	3	3
SL1344_2412		-	2557411	2557836	62	56	61	33	40	36	6	4	5
SL1344_2413	amiA	+	2558049	2558918	39	33	23	12	11	12	3	2	3
SL1344_2414	hemF	+	2558921	2559820	22	16	11	7	7	7	1	1	1
SL1344_2415		+	2559841	2560170	32	26	27	13	15	14	19	16	17
SL1344_2416		+	2560299	2561576	9	10	13	10	10	10	4	2	3
SL1344_2417	eutR	-	2561776	2562828	4	4	8	10	9	9	2	1	2
SL1344_2418	eutK	-	2562876	2563370	1	2	4	9	11	10	3	2	3
SL1344_2419	eutL	-	2563383	2564042	1	2	6	10	5	7	4	1	2
SL1344_2420	eutC	-	2564052	2564948	1	1	2	2	4	3	1	1	1
SL1344_2421	eutB	-	2564967	2566328	1	1	1	2	3	2	0	0	0
SL1344_2422	eutA	-	2566340	2567743	1	1	3	4	4	4	1	1	1
SL1344_2423	eutH	-	2567740	2568966	1	2	3	6	5	5	8	6	7
SL1344_2424	eutG	-	2569086	2570273	1	1	1	2	2	2	0	0	0
SL1344_2425	eutJ	-	2570263	2571102	1	1	2	2	2	2	0	0	0
SL1344_2426	eutE	-	2571113	2572516	1	1	2	2	2	2	0	0	0
SL1344_2427	eutN	-	2572528	2572827	0	1	2	2	2	2	0	0	0
SL1344_2428	eutM	-	2572928	2573218	1	2	4	15	16	15	1	0	1
SL1344_2429	eutD	-	2573259	2574275	0	0	1	2	2	2	0	0	0
SL1344_2430	eutT	-	2574272	2575075	0	0	1	2	1	1	0	0	0
SL1344_2431	eutQ	-	2575072	2575761	0	0	0	1	2	1	0	0	0
SL1344_2432	eutP	-	2575739	2576218	0	0	2	2	2	2	0	0	0
SL1344_2433	eutS	-	2576231	2576566	1	0	2	2	3	3	0	0	0
SL1344_2434	tnpA_1b	-	2577047	2577505	0	0	0	0	0	0	0	0	0
SL1344_2435	maeB	-	2577695	2579974	16	33	76	67	61	64	5	5	5
SL1344_2436	tal	+	2580246	2581196	3	5	18	26	25	25	18	21	20
SL1344_2437	tktB	+	2581216	2583216	6	8	19	24	26	25	16	16	16
SL1344_2438		-	2583279	2583509	64	69	90	148	148	148	7	4	5
SL1344_2439	ypfG	-	2583637	2584680	9	12	8	3	3	3	3	1	2
SL1344_2440	yffH	-	2584805	2585380	49	41	25	14	17	16	2	2	2
SL1344_2441		+	2585584	2586882	6	8	9	12	13	13	5	3	4
SL1344_2442	aegA	-	2587331	2589292	1	2	2	6	7	6	1	0	0
SL1344_2443	narQ	+	2589478	2591178	1	2	3	5	7	6	4	4	4
SL1344_2444	acrD	+	2591363	2594476	5	5	6	4	4	4	1	1	1
SL1344_2444A	ypfM	-	2594578	2594637	609	524	788	1862	1571	1716	1916	933	1424
SL1344_2445	yffB	+	2595050	2595406	42	36	30	22	22	22	2	2	2
SL1344_2446	dapE	+	2595410	2596537	50	56	47	43	41	42	10	11	11
SL1344_2447		+	2596565	2596765	79	73	55	51	48	50	33	16	25
SL1344_2448	ypfI	-	2596792	2598810	14	15	13	13	12	12	4	3	3
SL1344_2449		-	2598826	2599689	26	33	28	24	22	23	26	17	21
SL1344_2450	purC	-	2599820	2600533	14	47	22	51	34	43	1	1	1
SL1344_2451	nlpB	-	2600708	2601742	171	201	168	108	104	106	5	6	6
SL1344_2452	dapA	-	2601759	2602637	240	272	221	134	131	133	13	9	11
SL1344_2453	gcvR	+	2602783	2603355	74	100	71	75	61	68	5	3	4
SL1344_2454	bcp	+	2603355	2603825	167	263	160	163	149	156	11	11	11
SL1344_2455		-	2603872	2604114	6	6	12	5	4	4	0	1	1
SL1344_2456	perM	-	2604412	2605479	47	46	39	18	18	18	2	2	2
SL1344_2457		+	2605687	2607150	28	33	30	24	24	24	5	3	4
SL1344_2458	yfgD	+	2607190	2607549	23	35	34	37	38	38	3	2	3
SL1344_2459	yfgE	-	2607576	2608301	143	146	96	30	38	34	5	3	4
SL1344_2460	uraA	-	2608372	2609661	46	56	48	24	21	22	2	1	2
SL1344_2461	upp	-	2609749	2610375	294	152	130	73	82	77	3	5	4
SL1344_2462	purM	+	2610774	2611826	39	72	40	89	43	66	2	2	2
SL1344_2463	purN	+	2611826	2612464	43	69	45	60	38	49	2	3	3
SL1344_2464	ppk	+	2612653	2614719	49	59	47	40	41	40	8	7	7
SL1344_2465	ppx	+	2614724	2616265	34	46	39	35	33	34	4	3	3
SL1344_2466		-	2616301	2618514	2	1	6	13	15	14	4	3	3
SL1344_2467		-	2618819	2619079	3	3	2	2	4	3	3	2	2
SL1344_2468		+	2618927	2619118	79	68	88	113	114	114	35	45	40
SL1344_2469		+	2619659	2619988	19	17	12	15	15	15	25	10	18
SL1344_2470		-	2620008	2620364	12	16	2	0	1	1	0	0	0
SL1344_2471	guaA	-	2620521	2622098	91	349	63	22	26	24	2	3	2
SL1344_2472	guaB	-	2622168	2623634	77	289	43	16	19	17	4	3	3
SL1344_2473	xseA	+	2623795	2625144	65	58	26	8	12	10	7	3	5
SL1344_2474	shdA	-	2625306	2631425	2	3	3	2	2	2	1	1	1
SL1344_2475	ratB	-	2632119	2639425	10	11	9	4	4	4	0	1	0
SL1344_2477	ratA	-	2639591	2645188	5	6	7	7	7	7	5	4	4
SL1344_2478	sinI	-	2645308	2646267	1	2	2	1	2	1	0	0	0
SL1344_2479	sinH	-	2646325	2648517	2	1	1	1	1	1	1	1	1
SL1344_2480	yfgJ	-	2648863	2649084	74	38	32	10	13	11	7	3	5
SL1344_2481	engA	-	2649173	2650645	79	52	52	18	20	19	3	3	3
SL1344_2482	yfgL	-	2650764	2651942	249	239	191	102	109	105	37	47	42
SL1344_2483	yfgM	-	2651953	2652573	150	147	114	59	67	63	7	5	6
SL1344_2484	hisS	-	2652587	2653861	158	140	118	62	76	69	7	7	7
SL1344_2485	gcpE	-	2653972	2655090	122	108	100	48	62	55	10	10	10
SL1344_2486	yfgA	-	2655117	2656121	136	111	92	57	62	59	14	9	11
SL1344_2487	yfgB	-	2656413	2657579	163	111	95	31	36	33	2	2	2
SL1344_2488	ndk	-	2657786	2658217	373	255	572	238	148	193	27	20	24
SL1344_2489		-	2658338	2659201	2	2	4	8	7	8	0	0	0
SL1344_2490		-	2659201	2660010	2	2	3	7	8	7	0	0	0
SL1344_2491		-	2660003	2660632	1	1	3	4	5	5	0	0	0
SL1344_2492		-	2660629	2663007	2	2	5	6	8	7	1	1	1
SL1344_2493	pbpC	-	2663163	2665478	8	11	11	8	8	8	0	0	0
SL1344_2494		-	2665479	2670413	19	25	32	27	24	26	3	2	2
SL1344_2495		+	2670622	2671464	23	34	40	49	43	46	16	15	16
SL1344_2496		+	2671711	2672379	15	11	16	10	9	10	5	5	5
STnc2070		-	2672567	2672469	1332	865	704	829	679	754	301	288	294
RyfA		+	2672651	2672944	91	130	144	180	205	193	26	32	29
SL1344_2497	sseBb	-	2672948	2673733	63	89	32	15	18	16	1	1	1
SL1344_2498	pepB	-	2673834	2675117	57	78	34	17	21	19	2	2	2
SL1344_2499	yfhJ	-	2675364	2675564	236	224	101	34	48	41	7	5	6
SL1344_2500	fdx	-	2675576	2675911	240	236	107	33	32	32	1	2	1
SL1344_2501	hscA	-	2675913	2677763	160	142	57	18	22	20	2	2	2
SL1344_2502	hscB	-	2677776	2678291	250	193	72	17	24	21	3	3	3
SL1344_2503	iscA	-	2678487	2678810	711	648	239	63	82	72	16	15	16
SL1344_2504	nifU	-	2678839	2679225	319	283	114	34	44	39	19	10	15
SL1344_2505	iscS	-	2679253	2680467	243	229	92	23	34	28	12	11	11
SL1344_2506	yfhP	-	2680648	2681142	256	237	93	26	37	31	35	32	34
SL1344_2507		-	2681302	2682033	111	96	60	36	37	36	20	10	15
SL1344_2508	suhB	+	2682152	2682955	453	244	205	31	47	39	8	6	7
SL1344_2509		+	2683100	2683978	13	6	6	2	2	2	0	0	0
SL1344_2510	asrA	+	2684160	2685203	2	1	2	2	2	2	4	2	3
SL1344_2511	asrB	+	2685207	2686025	1	1	2	3	3	3	0	0	0
SL1344_2512	asrC	+	2686036	2687049	3	3	4	2	3	3	0	0	0
SL1344_2513		-	2687050	2688036	14	14	13	12	9	11	1	1	1
SL1344_2514		-	2688027	2688665	14	16	9	9	8	8	1	0	1
SL1344_2515	csiE	+	2688791	2690068	2	4	16	27	25	26	23	18	20
SL1344_2516	hcaT	-	2690063	2691202	39	39	30	10	10	10	2	3	2
SL1344_2517	glyA	-	2691398	2692651	91	143	156	163	166	164	26	31	28
SL1344_2518	hmpA	+	2692976	2694166	4	5	7	7	6	7	38	17	27
SL1344_2519	cadC	+	2694348	2695892	57	34	34	17	22	20	13	10	12
SL1344_2520	cadB	+	2696253	2697584	6	7	3	1	1	1	1	0	0
SL1344_2521	cadA	+	2697730	2699811	9	11	9	6	6	6	2	2	2
SL1344_2522	yjdL	+	2699867	2701327	5	5	3	2	2	2	1	0	1
SL1344_2523	glnB	-	2701376	2701714	233	369	245	182	156	169	14	9	11
SL1344_2524	yfhA	-	2701791	2703128	46	42	36	22	26	24	2	1	2
SL1344_2525	yfhG	-	2703125	2703889	51	51	41	42	36	39	4	3	3
SL1344_2526	yfhK	-	2703891	2705333	35	30	33	21	22	22	4	4	4
GlmY		-	2705564	2705381	2512	2765	1868	2317	2638	2477	1667	2343	2005
SL1344_2527	purG	-	2705971	2709858	13	30	15	22	14	18	1	1	1
SL1344_2529	yfhD	+	2710114	2711658	35	26	24	14	13	13	3	2	2
SL1344_2530	yfhC	-	2711709	2712260	58	33	36	25	28	27	4	4	4
SL1344_2531	yfhB	-	2712285	2712920	21	20	27	26	31	29	9	7	8
SL1344_2532		-	2712924	2714285	10	8	16	10	11	10	2	2	2
SL1344_2533	murQ	-	2714296	2715189	8	8	17	13	9	11	0	0	0
SL1344_2534	yfhH	+	2715305	2716153	18	11	8	4	4	4	0	0	0
SL1344_2535		-	2716192	2717058	9	9	10	8	9	8	3	2	2
SL1344_2536		-	2717131	2718327	3	1	2	1	1	1	2	1	1
SL1344_2537		+	2718443	2719369	0	2	5	6	6	6	4	2	3
SL1344_2538	yfhL	+	2719407	2719667	145	48	40	6	5	5	1	1	1
SL1344_2539	acpS	-	2719779	2720159	68	99	60	21	25	23	1	1	1
SL1344_2540	pdxJ	-	2720159	2720890	36	52	34	19	20	19	0	1	1
SL1344_2541	recO	-	2720902	2721630	158	129	71	38	40	39	1	2	2
SL1344_2542	era	-	2721642	2722547	177	149	97	43	50	47	3	2	2
SL1344_2543	rnc	-	2722544	2723146	222	169	132	86	87	87	44	26	35
SL1344_2544	lepB	-	2723498	2724472	211	175	129	61	62	61	4	3	4
SL1344_2545	lepA	-	2724489	2726288	160	152	115	51	60	55	4	3	4
SL1344_2546	gogB	+	2726744	2728186	20	24	23	14	17	16	3	1	2
SL1344_2547		+	2729142	2729588	9	12	28	98	79	88	15	9	12
STnc1380		-	2729701	2729634	195	392	287	854	670	762	19	20	19
SL1344_2548		-	2730253	2730318	14	8	4	7	7	7	3	3	3
SL1344_2549		+	2730700	2730927	5	5	9	12	12	12	30	20	25
SL1344_2550		-	2731024	2731602	0	0	1	1	1	1	0	0	0
SL1344_2551		-	2731592	2732416	1	1	2	2	2	2	1	1	1
SL1344_2552		-	2732413	2734785	1	1	1	2	1	1	0	0	0
SL1344_2552A		-	2734839	2735081	0	1	2	3	5	4	1	0	0
SL1344_2553		-	2735120	2738482	1	1	2	1	1	1	0	0	0
SL1344_2554		-	2738544	2739191	2	1	2	2	2	2	0	0	0
SL1344_2555		-	2739089	2739826	4	3	3	3	4	4	1	0	0
SL1344_2556		-	2739833	2740534	6	5	5	4	4	4	0	0	0
SL1344_2557		-	2740541	2740870	7	7	7	9	9	9	2	1	2
SL1344_2558		-	2740873	2743968	3	3	3	2	3	3	1	0	0
STnc3770		+	2743288	2743373	80	84	37	64	32	48	15	15	15
SL1344_2559		-	2743940	2744257	1	2	2	3	3	3	0	0	0
SL1344_2560		-	2744275	2744670	0	1	1	3	2	2	0	0	0
SL1344_2561		-	2744721	2745467	4	4	6	8	8	8	2	1	1
SL1344_2562		-	2745475	2745876	1	2	4	5	6	5	0	0	0
SL1344_2563	gipA	+	2745865	2747115	235	409	376	422	268	345	47	35	41
SL1344_2564		-	2747164	2747742	3	3	5	7	4	6	1	1	1
SL1344_2565		-	2747770	2748153	5	6	9	12	9	10	2	1	1
SL1344_2566		-	2748164	2748523	3	3	5	6	6	6	0	0	0
SL1344_2567		-	2748581	2749609	3	4	6	9	9	9	1	1	1
SL1344_2568		-	2749664	2750011	2	1	3	5	5	5	1	1	1
SL1344_2569		-	2750024	2751472	1	1	2	5	4	4	1	0	0
SL1344_2570		-	2751510	2753090	2	3	4	6	5	5	0	0	0
SL1344_2571		-	2753087	2753290	2	1	2	2	2	2	0	0	0
SL1344_2572		-	2753274	2755205	2	2	3	4	4	4	1	0	0
SL1344_2573		-	2755177	2755722	1	0	2	3	4	3	1	0	0
SL1344_2574		+	2756009	2756410	19	20	17	24	20	22	13	11	12
STnc1920		+	2756549	2756646	90	75	133	205	166	185	122	93	108
SL1344_2575		-	2756646	2757119	2	2	1	3	4	4	1	0	0
SL1344_2576		-	2757116	2757568	3	1	2	2	2	2	1	1	1
SL1344_2577		+	2758157	2758843	10	15	42	83	81	82	7	3	5
IsrI		-	2759265	2759018	20	11	32	31	28	29	31	23	27
STnc2080		-	2759518	2759410	325	322	694	1679	1606	1643	8782	12154	10468
IsrJ		-	2759717	2759646	558	541	501	392	295	344	1613	698	1156
SL1344_2578		-	2759753	2760316	40	21	27	7	9	8	2	1	1
STnc1160		-	2760451	2760372	3632	4342	3155	9797	8247	9022	35032	34297	34664
IsrK		-	2760556	2760480	686	892	708	597	585	591	181	230	205
SL1344_2579		-	2760589	2761266	2	1	1	1	1	1	0	0	0
SL1344_2580		-	2761263	2761403	1	0	0	0	0	0	0	0	0
SL1344_2581		-	2761400	2762011	1	1	1	1	0	0	0	0	0
SL1344_2582		-	2762220	2762822	29	35	45	26	25	25	13	13	13
SL1344_2583		-	2762857	2763105	68	78	77	43	47	45	20	11	15
SL1344_2584		-	2763222	2763455	84	126	119	87	73	80	37	14	25
SL1344_2585		-	2763714	2763905	92	87	169	159	151	155	37	27	32
SL1344_2586		-	2764017	2764298	9	5	6	11	9	10	1	0	0
SL1344_2587		-	2764291	2764944	3	3	5	5	5	5	0	1	0
SL1344_2588		-	2764947	2765417	3	4	4	3	4	4	0	0	0
SL1344_2589		-	2765419	2766084	1	2	1	3	3	3	0	0	0
SL1344_2590	gpP	-	2766099	2766791	1	1	2	2	1	2	0	0	0
SL1344_2591	gpO	-	2766788	2767693	3	3	5	7	6	7	2	1	2
STnc1390		+	2767704	2767767	957	2461	1507	4054	2825	3440	1459	1191	1325
SL1344_2592	cIIa	-	2767785	2768207	0	1	2	3	4	4	0	1	0
SL1344_2593		+	2768450	2768833	745	590	425	257	235	246	119	55	87
SL1344_2594		+	2768985	2770070	810	710	674	473	532	502	48	42	45
SL1344_2595		-	2770178	2770384	4	4	8	28	22	25	62	38	50
SL1344_2596		+	2770636	2770791	0	2	8	7	9	8	3	2	3
STnc1400		-	2771060	2770951	599	1563	1123	1186	840	1013	52	35	43
SL1344_2597	recEb	+	2771095	2774295	1	1	2	2	2	2	0	0	0
SL1344_2597A		+	2774306	2775415	1	1	1	1	1	1	0	0	0
SL1344_2598		+	2775458	2775697	0	0	0	1	0	0	0	0	0
SL1344_2599		+	2775738	2776022	2	3	5	5	5	5	0	0	0
SL1344_2600		-	2776000	2777229	15	14	10	4	4	4	2	1	1
SL1344_2601	rseC	-	2777727	2778206	36	50	30	16	20	18	5	4	4
SL1344_2602	rseB	-	2778203	2779159	69	76	53	35	41	38	16	13	15
SL1344_2603	rseA	-	2779159	2779809	99	93	71	49	49	49	26	21	24
SL1344_2604	rpoE	-	2779841	2780416	119	140	108	87	92	89	63	57	60
SL1344_2605	nadB	+	2780841	2782463	4	5	6	3	3	3	1	1	1
SL1344_2606	yfiC	-	2782448	2783185	34	29	26	16	15	16	1	1	1
SL1344_2607	srmB	+	2783316	2784650	124	80	61	22	29	25	6	4	5
SL1344_2608	yfiE	-	2784668	2785567	10	10	10	9	9	9	7	3	5
SL1344_2609	yfiK	+	2785670	2786257	3	3	6	3	3	3	1	1	1
SL1344_2610	yfiD	-	2786319	2786702	8	23	11	858	932	895	6	4	5
SL1344_2611	ung	+	2787021	2787710	60	82	50	61	50	55	9	8	8
SL1344_2612	yfiF	-	2787826	2788863	106	54	47	17	20	19	7	6	7
SL1344_2613	trxC	+	2789067	2789486	174	154	155	111	102	106	90	87	89
SL1344_2614	yfiP	+	2789559	2790239	51	47	22	13	16	15	3	2	3
SL1344_2615	yfiQ	+	2790293	2792953	22	35	42	35	40	38	9	7	8
SL1344_2616	pssA	+	2793068	2794423	117	84	92	56	74	65	6	5	5
SL1344_2617	yfiM	+	2794468	2794791	28	26	26	11	14	13	0	1	0
SL1344_2618	kgtP	-	2794788	2796089	5	6	9	7	7	7	2	2	2
SL1344_2619		-	2796193	2796648	4	2	9	10	9	9	7	4	5
SL1344_2620	clpB	-	2802529	2805102	130	390	349	518	651	585	426	877	652
SL1344_2621	yfiH	-	2805232	2805963	148	108	99	60	72	66	15	12	14
SL1344_2622	rluD	-	2805960	2806940	100	77	82	71	70	71	14	16	15
SL1344_2623	yfiO	+	2807072	2807809	122	128	101	67	67	67	8	7	7
STnc3160		-	2807900	2807810	39	70	243	141	314	227	544	545	544
SL1344_2624	yfiA	+	2808081	2808419	29	207	354	2564	1449	2006	438	270	354
STnc2090		+	2808306	2808464	17	110	321	2628	3697	3163	3163	6097	4630
sRNA3		+	2808504	2808645	317	392	434	717	526	622	175	136	155
SL1344_2625	pheA	+	2808670	2809830	31	14	18	15	16	16	4	1	2
SL1344_2626		-	2809791	2810699	4	5	9	10	9	9	6	4	5
STnc3790		+	2810663	2810737	20	8	17	16	7	12	15	6	10
SL1344_2627	tyrA	-	2810757	2811824	34	34	22	14	15	15	2	2	2
SL1344_2628	aroF	-	2811888	2812958	37	26	19	15	17	16	5	3	4
SL1344_2629	yfiR	+	2813398	2813916	29	25	12	6	10	8	67	51	59
SL1344_2630	yfiN	+	2813909	2815129	18	15	7	5	6	6	4	2	3
SL1344_2631	int	-	2815382	2816431	92	89	70	54	51	53	5	5	5
SL1344_2632		-	2816456	2816794	133	147	125	115	90	103	3	3	3
SL1344_2633		-	2816803	2817648	79	88	58	39	36	38	2	1	2
SL1344_2634		+	2817762	2818115	0	0	1	0	1	1	0	0	0
SL1344_2635	cIIb	+	2818166	2818675	1	0	1	0	0	0	0	0	0
SL1344_2636		+	2818683	2818883	0	0	1	0	0	0	0	0	0
SL1344_2637		+	2818847	2819185	0	1	0	0	0	0	0	0	0
SL1344_2638		+	2819253	2819480	1	0	0	0	0	0	0	0	0
SL1344_2639		+	2819480	2819704	0	0	0	1	0	0	0	0	0
SL1344_2640		+	2819701	2820222	0	0	1	0	0	0	0	0	0
SL1344_2641		+	2820291	2823074	1	0	1	1	1	1	0	0	0
SL1344_2642	gpF	+	2823088	2823573	4	4	6	3	5	4	1	0	1
SL1344_2643	gpD	+	2823570	2824736	2	2	4	2	3	2	1	1	1
SL1344_2644		+	2824931	2825620	23	50	78	72	71	72	9	6	8
STnc3800		-	2825000	2824672	108	127	118	80	77	78	173	107	140
SL1344_2645	gpB	+	2825697	2825915	32	54	103	150	126	138	18	17	17
SL1344_2646	rpl19	-	2826061	2826408	3769	2018	1583	350	372	361	128	189	159
SL1344_2647	trmD	-	2826449	2827216	2162	1428	999	149	165	157	3	2	2
SL1344_2648	rimM	-	2827261	2827809	4059	2733	1738	251	320	286	2	3	3
SL1344_2649	rps16	-	2827828	2828076	2290	1489	1777	275	336	306	7	13	10
SL1344_2650	ffh	-	2828390	2829751	95	90	81	37	45	41	4	4	4
SL1344_2651	corE	+	2829917	2830708	102	83	56	22	27	24	2	2	2
SL1344_2652	corB	+	2830773	2832014	78	59	36	13	19	16	2	3	2
STnc4230		+	2831934	2832038	162	219	196	125	155	140	26	26	26
SL1344_2653		+	2832135	2832740	37	29	20	18	16	17	6	3	4
SL1344_2654	grpE	-	2832775	2833365	473	924	233	200	192	196	31	30	31
SL1344_2655	ppnK	+	2833488	2834366	17	17	17	14	14	14	2	2	2
SL1344_2656	recN	+	2834452	2836113	44	51	37	16	16	16	7	3	5
SL1344_2657	smpA	+	2836262	2836600	302	336	190	101	108	104	31	22	26
SL1344_2658	rnfH	-	2836766	2837056	76	78	65	68	77	72	12	13	12
SL1344_2659	yfjG	-	2837046	2837501	120	134	129	121	116	118	24	16	20
SL1344_2660	smpB	+	2837672	2838154	230	177	155	91	101	96	11	15	13
SL1344_2661	bapA	+	2838768	2850242	1	2	2	2	1	2	18	17	18
SL1344_2662		+	2850307	2851716	1	1	1	1	1	1	2	1	2
IsrL		-	2850588	2850244	17	8	20	16	14	15	2	1	2
STnc3070		-	2851225	2851166	112	190	124	362	223	293	374	273	323
SL1344_2663		+	2851713	2853893	1	1	2	1	1	1	2	1	1
SL1344_2664		+	2853901	2855064	2	1	2	1	2	2	2	1	2
SL1344_2665		-	2855616	2855834	8	6	9	6	6	6	2	4	3
SL1344_2666		-	2855903	2857003	1	1	2	1	1	1	0	0	0
SL1344_2667	gpU	-	2857000	2857485	1	1	1	1	1	1	0	0	0
SL1344_2668		-	2857482	2860289	1	1	1	1	1	1	0	0	0
SL1344_2669	gpE'	-	2860282	2860401	0	0	2	0	1	0	0	0	0
SL1344_2670	gpE	-	2860416	2860718	2	1	0	0	1	1	0	0	0
