locus_tag	common gene name	strand	start	end	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_2047	yeeZ	-	2146146	2146970	30	19	30	22	54	41	38	58
STnc700		+	2147102	2147280	1443	3986	2398	1754	2528	1161	1746	2877
SL1344_2048	hisG	+	2147330	2148229	6	15	9	8	19	12	11	5
SL1344_2049	hisD	+	2148332	2149636	8	15	6	8	20	11	11	8
SL1344_2050	hisC	+	2149633	2150712	9	9	5	9	21	13	15	8
SL1344_2051	hisB	+	2150709	2151776	17	15	4	13	31	21	24	16
SL1344_2052	hisH	+	2151773	2152366	15	12	3	6	26	21	21	9
SL1344_2053	hisA	+	2152366	2153103	16	16	5	10	24	16	18	13
SL1344_2054	hisF	+	2153085	2153861	26	25	11	19	48	37	30	15
SL1344_2055	hisI	+	2153855	2154466	18	18	6	13	30	22	25	14
SL1344_2056	wzzB	-	2154547	2155530	112	120	52	86	146	167	127	55
SL1344_2057	udg	-	2155673	2156839	43	34	30	71	88	66	36	13
SL1344_2058	gnd	-	2157076	2158482	186	223	53	119	81	289	180	57
SL1344_2059	rfbP	-	2158646	2160076	205	223	222	197	208	324	242	51
SL1344_2060	rfbK	-	2160148	2161581	197	233	188	173	136	225	196	44
SL1344_2061	cpsB2	-	2161568	2163007	224	246	263	207	167	234	201	53
SL1344_2062	rfbN	-	2163008	2163952	255	331	345	233	222	321	248	71
SL1344_2063	rfbU	-	2163953	2165014	244	383	442	239	228	383	268	77
SL1344_2064	rfbV	-	2165334	2166335	384	592	607	401	449	661	480	129
SL1344_2065	rfbX	-	2166340	2167632	196	318	399	188	201	337	214	72
SL1344_2066	rfbJ	-	2167714	2168613	462	497	413	360	246	586	434	130
SL1344_2067	rfbH	-	2168641	2169954	860	809	674	543	422	628	635	130
SL1344_2068	rfbG	-	2169981	2171060	687	562	445	434	312	577	494	129
SL1344_2069	rfbF	-	2171065	2171838	506	474	373	335	209	561	431	119
SL1344_2070	rfbI	-	2171835	2172827	508	419	317	315	181	563	399	105
SL1344_2071	rfbC	-	2172833	2173384	642	477	414	440	240	809	552	145
SL1344_2072	rfbA	-	2173385	2174263	245	252	115	148	85	209	167	48
SL1344_2073	rfbD	-	2174311	2175210	227	205	102	140	53	213	158	52
STnc1320		+	2174386	2174470	44	34	42	61	52	41	55	87
SL1344_2074	rfbB	-	2175210	2176295	260	236	129	156	84	277	194	63
SL1344_2075	galF	-	2176672	2177694	342	232	116	280	261	358	345	174
SL1344_2076	wcaM	-	2177743	2179146	2	2	2	2	2	3	2	2
SL1344_2077	wcaL	-	2179157	2180377	2	0	1	1	1	3	2	1
SL1344_2078	wcaK	-	2180374	2181654	1	0	0	1	1	1	1	1
SL1344_2079	wzx	-	2181676	2183154	1	1	1	1	1	1	1	1
SL1344_2080	wcaJ	-	2183287	2184681	1	1	0	1	1	1	1	0
SL1344_2081	cpsG	-	2184735	2186105	0	1	0	1	0	1	0	0
SL1344_2082	cpsB	-	2186216	2187652	1	1	0	1	2	2	1	0
SL1344_2083	wcaI	-	2187655	2188878	1	1	1	1	2	3	1	1
SL1344_2084	gmm	-	2188875	2189348	0	0	1	1	1	3	2	0
SL1344_2085	fcl	-	2189351	2190316	1	1	1	1	3	3	2	1
SL1344_2086	gmd	-	2190319	2191440	1	2	0	1	3	3	1	1
SL1344_2087	wcaF	-	2191464	2192018	1	3	0	1	12	6	1	0
SL1344_2088	wcaE	-	2192034	2192780	2	2	1	1	12	3	2	1
SL1344_2089	wcaD	-	2192793	2194007	3	2	1	2	21	5	2	1
SL1344_2090	wcaC	-	2193982	2195199	1	1	1	1	6	2	1	1
SL1344_2091	wcaB	-	2195196	2195684	1	0	1	1	3	1	1	1
SL1344_2092	wcaA	-	2195687	2196529	1	3	1	1	9	3	1	1
SL1344_2093	wzc	-	2196616	2198775	1	1	0	1	6	3	1	2
SL1344_2094	wzb	-	2198772	2199221	2	2	0	1	6	4	1	2
SL1344_2095	wza	-	2199227	2200282	1	1	0	1	6	3	1	0
SL1344_2096	yegH	+	2201041	2202621	14	8	10	11	23	22	18	17
SL1344_2097	asmA	-	2202707	2204563	85	94	58	75	39	83	85	57
SL1344_2098	dcd	-	2204602	2205183	55	58	52	43	30	62	38	23
SL1344_2099	udk	-	2205274	2205915	112	103	51	72	30	119	82	36
SL1344_2100	yegE	+	2206246	2209236	12	12	8	7	6	10	13	9
SL1344_2101	alkA	-	2209204	2210073	2	2	2	3	11	3	4	4
SL1344_2102	yegD	+	2210207	2211559	10	12	12	32	3	5	6	3
RyeC		+	2211623	2211760	1457	664	1931	980	2751	149	2399	4436
SL1344_2103		+	2212000	2213241	4	6	2	2	4	5	15	5
SL1344_2104	yegN	+	2213241	2216363	4	4	3	3	3	4	9	2
SL1344_2105	yegO	+	2216364	2219444	4	7	3	4	3	4	7	3
SL1344_2106	yegB	+	2219441	2220853	8	10	4	8	6	7	9	5
SL1344_2107	baeS	+	2220853	2222256	8	11	11	9	6	12	8	6
SL1344_2108	baeR	+	2222253	2222975	11	22	6	9	9	17	10	9
STnc1150		+	2222979	2223134	391	372	548	427	434	576	423	331
SL1344_2109		+	2223562	2224446	1	1	1	0	1	1	0	1
SL1344_2110		+	2224446	2225162	3	1	1	2	3	1	2	1
SL1344_2111		+	2225173	2227284	3	4	2	2	3	3	4	3
SL1344_2112	yegQ	+	2227400	2228761	17	22	6	31	4	21	15	5
CyaR		+	2228847	2228932	2692	4405	7126	430	1266	4966	1415	12148
SL1344_2113	sseK2	+	2229212	2230258	1	4	3	1	13	2	2	2
SL1344_2114	srcA	-	2230294	2230710	9	18	8	11	23	12	10	5
SL1344_2115		-	2230832	2231167	10	14	7	11	14	9	13	5
SL1344_2116		-	2231529	2231645	2	4	1	2	3	2	2	5
SL1344_2117	yegS	+	2231729	2232628	6	6	4	5	21	15	9	11
SL1344_2118	fbaB	-	2232681	2233733	8	4	4	3	24	17	13	12
SL1344_2119	yegT	+	2233987	2235258	3	6	4	4	3	6	2	5
SL1344_2120	yegU	+	2235255	2236259	7	8	9	8	4	8	7	12
SL1344_2121	yegV	+	2236361	2237221	5	5	3	3	2	5	5	6
SL1344_2122	yegW	-	2237195	2237941	48	40	57	44	74	59	52	54
SL1344_2123	thiD	-	2237977	2238777	6	4	5	7	9	11	9	11
SL1344_2124	thiM	-	2238764	2239561	6	9	4	10	13	10	10	9
SL1344_2125		+	2239971	2240285	91	86	75	96	146	131	115	73
STnc740		-	2240366	2240283	58	86	119	71	292	100	95	94
SL1344_2126	stcD	-	2240548	2241555	3	4	4	5	13	3	4	5
SL1344_2127	stcC	-	2241571	2244060	2	3	2	3	7	2	3	3
SL1344_2128	stcB	-	2244074	2244757	1	3	1	1	2	1	1	2
SL1344_2129	stcA	-	2244813	2245343	1	1	0	0	6	1	1	28
SL1344_2130	yehE	-	2245622	2245903	32	23	12	32	20	18	33	10
SL1344_2131	mrp	-	2246181	2247290	79	68	20	59	36	130	68	41
SL1344_2132	metG	+	2247455	2249488	63	74	30	60	54	74	62	31
SL1344_2133	yehR	+	2249729	2250187	6	22	12	9	8	11	13	5
SL1344_2134		+	2250359	2250889	7	9	7	13	13	11	7	5
STnc1890		+	2250891	2250938	49	61	10	42	60	7	68	60
SL1344_2135	yehS	-	2250946	2251413	72	155	56	53	46	74	57	36
SL1344_2136	yehT	-	2251460	2252179	25	51	39	12	5	48	12	10
SL1344_2137	yehU	-	2252176	2253861	18	37	36	11	4	53	9	13
SL1344_2138	yehV	+	2254084	2254815	6	7	3	3	23	14	11	13
SL1344_2139	yohO	+	2254875	2254982	958	1835	1925	927	1922	1171	892	234
SL1344_2140	yehW	-	2254963	2255694	3	4	2	4	15	6	9	3
SL1344_2141	yehX	-	2255678	2256625	8	7	4	5	33	14	14	8
SL1344_2142	yehY	-	2256618	2257787	6	6	3	3	43	13	11	9
SL1344_2143	yehZ	-	2257791	2258708	9	12	6	7	153	31	20	20
SL1344_2144	bglX	-	2258889	2261186	20	34	6	14	10	33	20	10
SL1344_2145	dld	+	2261453	2263183	14	20	5	8	13	23	14	12
SL1344_2146	pbpG	-	2263241	2264149	64	65	35	54	17	75	58	41
STnc3720		+	2264259	2264328	12	21	19	19	46	13	29	73
SL1344_2147	yohC	-	2264354	2264941	1	0	1	1	13	1	4	5
SL1344_2148	yohD	+	2265073	2265669	8	7	5	6	15	10	9	16
SL1344_2149	yohF	-	2265718	2266479	5	2	3	3	6	6	5	5
SL1344_2150	yohG	-	2266545	2267981	4	4	4	3	2	2	5	5
STnc1330		+	2268274	2268414	69	60	86	50	1665	222	119	293
SL1344_2151	yohI	-	2268440	2269378	17	14	11	17	6	12	14	7
SL1344_2152		-	2269487	2270680	6	3	3	4	5	7	7	5
SL1344_2153		-	2270695	2271339	2	0	2	2	6	3	5	4
SL1344_2154		-	2271348	2272049	1	1	1	1	3	2	2	0
SL1344_2155		-	2272065	2273102	1	0	0	0	1	1	1	1
SL1344_2156		-	2273114	2274472	0	1	4	0	2	1	0	1
SL1344_2157		+	2274598	2275506	14	29	16	17	115	21	22	9
SL1344_2158	yohJ	+	2275638	2276036	31	27	58	84	99	27	38	69
SL1344_2159	yohK	+	2276033	2276728	9	6	3	14	14	5	9	8
SL1344_2160	cdd	+	2276882	2277766	52	42	35	18	26	53	49	168
SL1344_2161	sanA	+	2277943	2278662	103	122	75	60	87	93	93	88
SL1344_2162	b2145	+	2278659	2278904	38	41	36	17	22	58	34	46
SL1344_2163		+	2279109	2280350	5	9	4	1	2	6	2	102
SL1344_2164	yeiA	+	2280344	2281579	6	11	4	3	3	6	4	129
SL1344_2165	mglC	-	2281654	2282664	20	133	60	8	11	28	19	41
SL1344_2166	mglA	-	2282680	2284200	20	183	78	2	7	126	13	67
SL1344_2167	mglB	-	2284334	2285332	26	199	95	3	8	319	22	96
SL1344_2168	galS	-	2285831	2286853	7	22	13	3	6	91	5	38
SL1344_2169	yeiB	-	2287003	2288145	40	49	17	35	15	29	33	15
SL1344_2170	folE	-	2288160	2288828	48	47	12	30	17	49	43	19
SL1344_2171	yeiG	+	2289158	2290015	91	102	34	75	51	140	103	52
SL1344_2172		-	2290004	2290393	13	13	16	9	14	11	20	23
SL1344_2173		-	2290398	2291765	5	4	6	7	15	5	8	8
SL1344_2174		+	2291982	2292869	0	0	0	0	3	1	0	1
SL1344_2175		+	2292902	2294224	1	2	2	1	4	1	1	4
SL1344_2176	cirA	-	2294268	2296259	10	40	6	7	3	141	303	2
SL1344_2177	lysP	-	2296604	2298073	37	68	19	37	42	49	39	18
SL1344_2178	yeiE	-	2298263	2299126	31	47	41	29	41	44	36	30
SL1344_2179	yeiH	+	2299247	2300296	8	14	11	26	53	26	23	34
SL1344_2180	nfo	+	2300375	2301232	45	57	29	29	37	61	44	28
SL1344_2181	fruA	-	2301297	2302985	5	14	7	3	2	3	3	4
SL1344_2182	fruK	-	2303002	2303859	4	17	4	2	3	3	2	9
SL1344_2183	fruB	-	2303940	2305070	4	17	8	2	2	3	1	4
SL1344_2184	setB	+	2305439	2306620	4	10	4	6	4	3	4	4
SL1344_2185	STM228	-	2306685	2307350	5	10	10	15	27	9	8	7
SL1344_2186	STM229	-	2307352	2307474	8	7	11	8	17	17	6	7
SL1344_2187		-	2307862	2308116	22	62	13	19	29	32	26	12
SL1344_2188	yeiP	+	2308440	2309012	156	140	54	96	48	209	126	34
SL1344_2189	yeiR	+	2309225	2310211	22	52	22	15	24	37	26	20
SL1344_2190	yeiU	+	2310241	2310960	113	132	104	290	119	120	77	24
STnc3010		-	2311126	2310959	136	185	189	131	198	207	174	244
SL1344_2191	spr	+	2311374	2311946	744	1309	960	483	312	1272	600	599
SL1344_2192	rtn	+	2312272	2313828	35	49	26	24	28	31	37	30
SL1344_2193	yejA	+	2313935	2315740	22	28	16	13	8	25	24	19
SL1344_2194	yejB	+	2315750	2316844	27	30	19	20	14	28	29	23
SL1344_2195	yejE	+	2316844	2317869	18	29	7	10	4	19	21	13
SL1344_2196	yejF	+	2317871	2319460	21	20	13	9	3	18	20	11
SL1344_2197	yejG	-	2319464	2319808	107	622	343	512	1129	185	129	77
STnc1340		-	2320037	2319956	88	271	1737	224	181	125	150	1427
SL1344_2198	bcr	-	2320199	2321389	24	30	20	21	15	27	20	13
STnc1540		-	2321137	2321042	272	106	295	334	353	52	316	413
SL1344_2199	rsuA	-	2321417	2322112	29	44	11	29	21	40	31	20
SL1344_2200	yejH	+	2322264	2324024	14	13	6	9	8	13	14	7
SL1344_2201	rplY	+	2324149	2324433	1363	1537	762	1667	809	1505	945	183
SL1344_2202		-	2324542	2325162	135	104	63	111	85	176	101	63
SL1344_2203	yejK	-	2325190	2326197	62	61	21	51	20	95	42	20
SL1344_2204	yejL	+	2326377	2326604	234	365	267	223	223	273	214	93
SL1344_2205	yejM	+	2326636	2328396	77	112	48	59	58	78	77	28
SL1344_2206		-	2328677	2329147	2	3	1	1	3	2	2	2
SL1344_2207		+	2329208	2329498	1	2	1	1	2	1	1	2
SL1344_2208	oafA	+	2329846	2331675	198	171	332	212	95	257	198	30
SL1344_2209		-	2331729	2332172	5	7	2	8	9	5	6	1
SL1344_2210		-	2332550	2333077	4	2	1	3	4	5	4	6
SL1344_2211		-	2333080	2334321	1	2	1	1	2	3	1	2
SL1344_2212		-	2334382	2334900	1	0	0	0	1	1	0	0
SL1344_2213		-	2334914	2335243	1	0	0	0	1	0	2	0
SL1344_2214		+	2335540	2336871	116	130	212	116	97	335	219	101
SL1344_2215		-	2336900	2337268	5	6	5	7	7	8	12	6
SL1344_2216		-	2337283	2338272	1	2	2	2	1	2	2	1
SL1344_2217	sspH2	-	2338601	2340967	6	9	5	6	7	7	9	9
SL1344_2218		-	2341136	2341339	0	1	1	1	1	1	1	1
SL1344_2219		-	2341636	2342463	0	1	1	1	1	1	1	1
IsrG		+	2342448	2342729	6	4	2	5	2	2	7	1
SL1344_2220		+	2342730	2342933	2	4	1	0	5	1	2	2
SL1344_2221		-	2343125	2343688	1	1	2	2	8	1	2	1
SL1344_2222	narP	+	2344418	2345065	22	20	16	21	22	29	13	31
SL1344_2223	ccmH2	-	2345109	2346152	3	1	2	1	1	4	3	53
SL1344_2223A	ccmG2	-	2346149	2346706	0	0	0	0	0	0	0	0
SL1344_2223B	ccmF2	-	2346703	2348634	0	0	0	0	0	0	0	0
SL1344_2223C	ccmE2	-	2348631	2349110	1	0	0	1	0	1	1	13
SL1344_2223D	ccmD2	-	2349107	2349280	0	0	0	0	0	0	0	0
SL1344_2223E	ccmC2	-	2349316	2350062	0	0	0	0	0	0	0	0
SL1344_2223F	ccmB2	-	2350105	2350761	0	0	0	0	0	0	0	0
SL1344_2224	ccmA2	-	2350761	2351378	1	0	1	0	0	4	1	23
SL1344_2225	napC	-	2351399	2352001	11	12	6	3	6	20	7	302
SL1344_2226	napB	-	2352011	2352460	8	7	2	4	2	8	7	228
SL1344_2227	napH	-	2352576	2353445	11	13	6	4	4	15	6	372
SL1344_2228	napG	-	2353432	2354127	7	5	2	2	1	8	3	274
SL1344_2229	napA	-	2354134	2356620	10	13	5	3	4	14	6	420
SL1344_2230	napD	-	2356617	2356880	11	15	11	1	7	16	6	677
SL1344_2231	napF	-	2356870	2357361	7	6	2	2	3	15	4	404
SL1344_2232	eco	+	2357775	2358269	17	34	53	14	215	46	28	37
SL1344_2233	yojI	-	2358478	2360121	36	48	21	28	9	52	41	4
SL1344_2234	alkB	-	2360197	2360847	11	8	7	12	6	16	8	9
SL1344_2235	ada	-	2360850	2361911	18	14	11	20	11	28	17	15
SL1344_2236	apbE	-	2361992	2363044	21	18	12	26	6	29	17	5
SL1344_2237	ompC	-	2363159	2364127	876	671	133	561	739	1525	1093	835
MicF		+	2364629	2364721	960	647	2825	3858	2159	3785	2266	3461
SL1344_2238	yojN	+	2365024	2367693	81	90	64	82	53	90	101	50
SL1344_2239	rcsB	+	2367710	2368360	148	163	46	114	123	214	166	72
SL1344_2240	rcsC	-	2368463	2371309	36	52	17	21	21	46	38	16
SL1344_2241	gyrA	-	2371427	2374063	229	217	70	175	128	247	183	60
SL1344_2242		-	2374473	2375675	6	11	3	5	36	5	5	5
SL1344_2243		-	2375690	2377015	1	3	1	1	8	1	1	1
SL1344_2244		+	2377254	2377949	8	16	9	5	106	15	10	12
SL1344_2245	ubiG	+	2378032	2378760	65	86	37	44	97	83	59	49
SL1344_2246	nrdA	+	2379116	2381401	183	176	58	104	67	208	160	103
SL1344_2247	nrdB	+	2381514	2382644	167	126	33	97	45	206	147	82
SL1344_2248	yfaE	+	2382644	2382898	230	114	46	153	66	295	183	73
SL1344_2249		-	2382900	2384090	13	18	12	11	11	9	12	9
SL1344_2250		+	2384252	2385130	6	12	15	4	8	37	6	38
SL1344_2251	glpQ	-	2385246	2386316	399	618	163	15	90	823	125	1103
SL1344_2252	glpT	-	2386321	2387679	158	292	79	9	64	741	55	535
SL1344_2253	glpA	+	2387952	2389580	18	46	48	1	7	151	11	526
SL1344_2254	glpB	+	2389570	2390829	18	48	18	2	6	49	13	436
SL1344_2255	glpC	+	2390826	2392016	30	53	21	9	12	52	21	579
IsrH_1_2		-	2392469	2392019	2	1	2	2	11	1	2	4
SL1344_2256	sseL	+	2392511	2393464	3	10	4	4	76	6	5	25
SL1344_2257		-	2393574	2393750	15	25	6	13	8	18	21	55
SL1344_2258		-	2393756	2394559	3	2	1	1	2	7	3	7
SL1344_2259	yfaV	-	2394585	2395874	3	3	2	2	5	5	4	9
SL1344_2260	yfaW	-	2395930	2397147	3	6	4	5	6	5	6	13
SL1344_2261	yfaX	-	2397149	2397931	1	4	3	1	3	2	1	10
SL1344_2262		-	2398181	2399377	27	26	31	25	27	47	39	33
SL1344_2263	yfaZ	-	2399492	2400058	96	74	58	181	58	147	107	37
SL1344_2264	yfaO	+	2400313	2400738	67	118	80	51	131	130	67	87
SL1344_2265	ais	-	2400783	2401388	59	168	48	66	25	70	33	11
SL1344_2266	yfbE	+	2401669	2402826	56	79	30	70	43	98	46	13
SL1344_2267	pmrF	+	2402829	2403812	51	56	35	64	49	92	44	18
SL1344_2268	yfbG	+	2403809	2405791	44	43	17	46	25	69	36	13
SL1344_2269		+	2405788	2406687	43	33	14	37	21	67	33	8
SL1344_2270	arnT	+	2406684	2408330	34	30	16	28	20	47	26	11
SL1344_2271		+	2408405	2408662	35	22	30	31	20	35	33	14
SL1344_2272		+	2408662	2409039	21	22	10	12	9	18	22	12
SL1344_2273	pmrD	-	2409034	2409291	328	296	315	686	1077	657	358	330
SL1344_2274	menE	-	2409389	2410756	22	14	10	18	8	29	20	43
SL1344_2275	menC	-	2410753	2411715	30	18	14	21	9	40	24	63
SL1344_2276	menB	-	2411715	2412572	17	22	7	12	11	35	17	39
SL1344_2277	yfbB	-	2412587	2413345	15	17	15	13	8	16	15	60
SL1344_2278	menD	-	2413342	2415012	11	11	13	10	5	18	9	96
SL1344_2279	menF	-	2415098	2416393	21	18	7	13	21	22	18	15
SL1344_2280	elaB	-	2416494	2416805	44	25	17	27	255	127	80	148
SL1344_2281	elaA	-	2416854	2417315	25	13	10	15	22	46	29	26
SL1344_2282	elaC	+	2417376	2418293	12	12	18	9	18	15	17	16
SL1344_2283		+	2418359	2419360	126	189	52	120	230	162	143	528
SL1344_2284	yfbK	-	2419401	2421182	7	7	4	5	4	6	6	7
SL1344_2285	nuoN	-	2422070	2423527	185	132	25	73	44	175	99	47
SL1344_2286	nuoM	-	2423534	2425063	183	130	21	63	37	192	91	45
SL1344_2287	nuoL	-	2425377	2427218	241	155	60	88	60	230	102	66
SL1344_2288	nuoK	-	2427215	2427517	204	149	25	67	33	180	59	46
SL1344_2289	nuoJ	-	2427514	2428068	218	146	30	71	45	213	74	53
SL1344_2290	nuoI	-	2428079	2428621	315	264	42	124	86	303	110	89
SL1344_2291	nuoH	-	2428636	2429613	263	162	59	120	62	230	91	80
SL1344_2292	nuoG	-	2429610	2432336	310	293	80	148	86	274	107	104
SL1344_2293	nuoF	-	2432367	2433704	254	218	41	123	71	249	90	93
SL1344_2294	nuoE	-	2433701	2434201	322	485	120	193	145	342	130	164
SL1344_2295	nuoC	-	2434204	2436006	254	329	67	169	120	227	91	106
SL1344_2296	nuoB	-	2436093	2436755	261	347	73	181	156	357	108	118
SL1344_2297	nuoA	-	2436771	2437214	211	383	97	168	228	329	122	110
SL1344_2298		-	2437609	2437761	9	16	12	14	21	18	8	7
STnc1550		+	2437665	2437806	84	92	176	78	139	98	79	188
SL1344_2299	lrhA	-	2437841	2438779	19	22	12	17	22	18	15	24
SL1344_2300	yfbQ	+	2439711	2440925	65	47	17	26	9	74	57	16
SL1344_2301		+	2441019	2441618	24	27	18	17	27	30	26	20
SL1344_2302	yfbS	-	2441710	2443536	22	28	21	12	17	31	22	84
SL1344_2303	yfbT	-	2443613	2444290	52	41	28	35	49	72	66	145
SL1344_2304	yfbU	-	2444283	2444777	46	47	20	30	75	92	59	102
SL1344_2305		-	2444860	2445315	32	38	24	30	83	43	34	33
SL1344_2306	ackA	+	2445655	2446857	473	404	134	313	149	529	362	143
SL1344_2307	pta	+	2446934	2449078	321	220	37	203	68	369	255	70
STnc1560		+	2449075	2449183	1331	692	1670	1589	1168	181	1304	1688
STnc3730		-	2449281	2449087	22	18	32	47	42	28	22	30
SL1344_2308	yfcC	+	2449296	2450816	12	14	11	10	5	9	6	6
SL1344_2309		-	2450865	2451818	30	32	7	9	12	25	30	622
SL1344_2310		-	2451811	2452641	19	19	5	4	4	13	17	406
SL1344_2311		-	2452638	2454029	20	35	10	3	7	57	19	557
SL1344_2312		-	2454050	2454322	12	18	5	2	9	63	15	445
SL1344_2313		-	2454403	2454846	18	35	82	2	11	235	18	844
SL1344_2314		+	2455099	2456118	16	22	13	14	12	37	20	85
SL1344_2315		-	2456124	2456678	141	102	34	84	74	194	137	66
SL1344_2316	yfcE	-	2456735	2457286	235	127	71	166	140	243	191	93
SL1344_2317	yfcF	-	2457342	2457986	15	19	7	14	16	21	23	19
SL1344_2318	yfcG	+	2458129	2458776	3	1	4	2	15	6	5	5
SL1344_2319	yfcH	+	2458902	2459795	13	16	5	9	19	12	13	27
STnc3740		+	2459768	2459846	39	11	33	27	76	7	56	80
SL1344_2320	hisP	-	2459847	2460623	24	25	12	12	11	21	13	11
SL1344_2321	hisM	-	2460634	2461341	22	21	15	14	12	22	15	11
SL1344_2322	hisQ	-	2461338	2462024	26	27	10	16	11	18	16	6
SL1344_2323	hisJ	-	2462207	2462989	73	89	63	57	37	88	54	31
SL1344_2324	argT	-	2463227	2464009	18	20	13	2	10	21	10	6
SL1344_2325	ubiX	-	2464298	2464867	44	55	23	29	51	60	41	45
SL1344_2326		-	2464894	2466300	24	24	18	16	21	24	22	20
SL1344_2327		-	2466364	2467467	9	12	7	8	12	9	13	10
SL1344_2328		-	2467469	2468890	3	3	2	2	3	5	4	3
SL1344_2329		-	2468981	2470378	4	2	1	2	3	2	4	3
SL1344_2330		+	2470589	2472016	7	7	128	3	5	29	8	9
SL1344_2331	purF	-	2472052	2473569	101	65	29	44	27	103	73	20
SL1344_2332	cvpA	-	2473607	2474095	256	218	67	93	75	191	206	38
SL1344_2333	dedD	-	2474406	2475080	165	129	109	147	108	162	162	123
SL1344_2334	folC	-	2475070	2476338	87	99	56	60	39	100	79	52
SL1344_2335	accD	-	2476406	2477320	259	280	125	212	101	284	204	98
SL1344_2336	dedA	-	2477470	2478129	63	73	32	57	29	77	48	21
SL1344_2337	truA	-	2478178	2478990	70	79	48	95	26	83	64	27
SL1344_2338	usg	-	2478990	2480003	54	70	20	54	17	63	45	16
SL1344_2339	pdxB	-	2480071	2481207	102	116	49	77	54	116	91	50
SL1344_2340	div	+	2481311	2482312	21	30	9	11	5	20	16	6
SL1344_2341		-	2482309	2483487	22	27	18	20	15	29	27	14
SL1344_2342		-	2483667	2484041	1	4	3	2	5	1	2	2
SL1344_2343		+	2484214	2484462	3	26	8	2	2	1	3	4
SL1344_2344		+	2484631	2484999	2	5	2	1	5	0	1	0
SL1344_2345		+	2484999	2485517	1	3	0	1	1	0	1	0
SL1344_2346		-	2485584	2486240	25	59	25	7	8	11	11	7
SL1344_2347	fabB	-	2486338	2487552	586	836	349	97	130	304	356	317
SL1344_2348	mnmC	+	2487652	2489712	48	50	34	27	37	35	37	41
SL1344_2349	yfcL	-	2489764	2490039	219	181	201	178	65	202	192	70
SL1344_2350	yfcM	-	2490072	2490620	113	91	98	77	26	81	81	17
SL1344_2351	yfcA	-	2490620	2491429	39	54	22	22	14	40	32	9
SL1344_2352	mepA	-	2491429	2492253	55	60	38	39	18	49	52	17
SL1344_2353	aroC	-	2492257	2493342	65	65	25	48	23	83	66	23
SL1344_2354	yfcB	-	2493378	2494310	115	106	65	90	36	139	99	31
SL1344_2355	yfcN	+	2494476	2495027	17	21	21	13	9	22	19	17
SL1344_2356	sixA	-	2495127	2495612	197	178	97	152	119	149	157	116
SL1344_2357	fadJ	-	2495821	2497968	10	14	8	5	29	19	14	49
SL1344_2358	fadI	-	2497968	2499278	2	4	5	1	8	13	2	2
SL1344_2359	yfcZ	-	2499456	2499740	131	60	171	88	70	132	101	759
SL1344_2360	fadL	+	2500105	2501418	82	130	40	32	28	61	31	15
SL1344_2361	vacJ	-	2501479	2502234	158	104	46	87	52	232	149	94
SL1344_2362	yfdC	+	2502523	2503464	4	3	3	4	20	8	7	9
SL1344_2363	pgtE	-	2503771	2504709	5	12	4	6	31	6	9	13
STnc3750		-	2503803	2503726	14	3	13	9	109	25	15	31
SL1344_2364	pgtA	-	2504977	2506224	9	9	5	5	5	14	9	15
SL1344_2365	pgtB	-	2506214	2508220	9	8	3	5	5	11	9	14
SL1344_2366	pgtC	-	2508217	2509410	3	5	1	1	8	7	3	12
SL1344_2367	pgtP	+	2509846	2511237	1	3	2	2	5	3	2	7
SL1344_2368		-	2511513	2511755	18	23	22	13	31	31	27	77
SL1344_2369	lpxP	+	2512277	2513197	4	41	7	2	2	2	4	3
SL1344_2369A	ypdK	+	2513600	2513671	532	236	282	1097	152	1204	909	440
SL1344_2370	yfdZ	-	2513721	2514959	48	52	25	25	56	76	67	52
tpke70		-	2513722	2513324	11	27	11	6	15	14	9	13
STnc3760		+	2515508	2515633	60	44	62	69	108	44	101	247
SL1344_2371	glk	-	2515680	2516645	42	65	32	8	37	107	36	71
SL1344_2372		+	2516849	2518084	8	6	9	6	7	8	8	13
SL1344_2373		-	2518104	2519756	5	4	2	3	7	7	7	19
SL1344_2374		+	2519936	2520934	17	17	15	9	20	31	24	48
SL1344_2375	ypeC	+	2521048	2521374	28	17	37	21	63	44	40	37
SL1344_2376	mntH	-	2521435	2522676	16	23	34	16	56	53	128	6
SL1344_2377	nupC	+	2523019	2524221	246	216	143	37	29	426	120	229
SL1344_2378	yfeA	-	2524274	2526463	16	17	15	13	10	16	14	19
SL1344_2379	yfeC	+	2527069	2527431	69	57	108	26	90	256	55	381
SL1344_2380	yfeD	+	2527433	2527825	47	63	72	20	23	157	45	258
SL1344_2381	gltX	-	2527879	2529294	122	140	26	87	43	179	103	42
SL1344_2382	xapR	-	2530110	2530994	2	4	1	2	3	4	3	5
SL1344_2383		-	2531046	2531204	5	3	0	2	11	1	2	3
SL1344_2384	xapB	-	2531263	2532519	4	6	6	4	6	5	8	13
SL1344_2385	flhAb	-	2532574	2533407	1	1	0	1	2	1	0	1
SL1344_2386	yfeN	+	2533663	2534424	3	4	8	4	10	4	5	8
SL1344_2387	yfeR	-	2534486	2535412	5	7	2	5	12	10	8	6
SL1344_2388	yfeH	+	2535502	2536500	21	19	18	16	8	25	17	18
SL1344_2389		-	2536497	2536724	59	43	14	51	57	61	61	37
SL1344_2390	lig	-	2536717	2538732	40	49	14	34	29	56	41	29
