locus_tag	common gene name	strand	start	end	InSPI2 (biological replicate 1)	InSPI2 (biological replicate 2)	InSPI2 average (biological replicate 1 and 2)	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_2328		-	2467469	2468890	4	5	5	3	2	5
SL1344_2329		-	2468981	2470378	4	3	3	3	4	4
SL1344_2330		+	2470589	2472016	8	6	7	12	11	7
SL1344_2331	purF	-	2472052	2473569	229	217	223	72	59	28
SL1344_2332	cvpA	-	2473607	2474095	486	456	471	179	30	18
SL1344_2333	dedD	-	2474406	2475080	100	106	103	109	74	74
SL1344_2334	folC	-	2475070	2476338	103	85	94	90	24	70
SL1344_2335	accD	-	2476406	2477320	347	288	318	218	45	122
SL1344_2336	dedA	-	2477470	2478129	279	240	259	248	78	115
SL1344_2337	truA	-	2478178	2478990	358	262	310	296	140	128
SL1344_2338	usg	-	2478990	2480003	313	256	284	202	178	83
SL1344_2339	pdxB	-	2480071	2481207	70	72	71	52	11	36
SL1344_2340	div	+	2481311	2482312	11	10	11	12	2	5
SL1344_2341		-	2482309	2483487	30	30	30	26	3	24
SL1344_2342		-	2483667	2484041	2	1	1	2	0	4
SL1344_2343		+	2484214	2484462	2	4	3	3	1	5
SL1344_2344		+	2484631	2484999	1	1	1	2	1	3
SL1344_2345		+	2484999	2485517	1	1	1	2	0	1
SL1344_2346		-	2485584	2486240	9	11	10	17	4	6
SL1344_2347	fabB	-	2486338	2487552	201	167	184	215	85	78
SL1344_2348	mnmC	+	2487652	2489712	20	19	20	28	13	23
SL1344_2349	yfcL	-	2489764	2490039	141	149	145	71	69	48
SL1344_2350	yfcM	-	2490072	2490620	47	41	44	27	3	12
SL1344_2351	yfcA	-	2490620	2491429	26	25	25	14	2	7
SL1344_2352	mepA	-	2491429	2492253	33	26	30	25	7	14
SL1344_2353	aroC	-	2492257	2493342	46	43	44	29	9	15
SL1344_2354	yfcB	-	2493378	2494310	63	54	59	43	8	18
SL1344_2355	yfcN	+	2494476	2495027	17	12	14	19	10	11
SL1344_2356	sixA	-	2495127	2495612	494	431	462	577	36	84
SL1344_2357	fadJ	-	2495821	2497968	158	113	135	118	11	16
SL1344_2358	fadI	-	2497968	2499278	2	2	2	3	2	3
SL1344_2359	yfcZ	-	2499456	2499740	170	145	158	226	72	55
SL1344_2360	fadL	+	2500105	2501418	20	22	21	16	14	16
SL1344_2361	vacJ	-	2501479	2502234	88	87	87	87	26	50
SL1344_2362	yfdC	+	2502523	2503464	10	11	11	21	3	20
SL1344_2363	pgtE	-	2503771	2504709	74	55	64	126	20	19
STnc3750		-	2503803	2503726	203	183	193	245	57	116
SL1344_2364	pgtA	-	2504977	2506224	11	9	10	9	2	8
SL1344_2365	pgtB	-	2506214	2508220	9	7	8	6	1	5
SL1344_2366	pgtC	-	2508217	2509410	6	6	6	7	2	5
SL1344_2367	pgtP	+	2509846	2511237	3	3	3	4	3	4
SL1344_2368		-	2511513	2511755	16	23	19	23	36	31
SL1344_2369	lpxP	+	2512277	2513197	2	1	2	5	1	3
SL1344_2369A	ypdK	+	2513600	2513671	167	156	161	384	120	276
SL1344_2370	yfdZ	-	2513721	2514959	62	59	60	76	21	62
tpke70		-	2513722	2513324	11	10	11	16	5	18
STnc3760		+	2515508	2515633	65	53	59	53	185	146
SL1344_2371	glk	-	2515680	2516645	51	48	50	80	23	36
SL1344_2372		+	2516849	2518084	11	10	11	17	6	16
SL1344_2373		-	2518104	2519756	2	2	2	4	2	3
SL1344_2374		+	2519936	2520934	28	23	25	30	16	14
SL1344_2375	ypeC	+	2521048	2521374	39	33	36	46	28	38
SL1344_2376	mntH	-	2521435	2522676	11	9	10	20	946	38
SL1344_2377	nupC	+	2523019	2524221	176	172	174	57	15	28
SL1344_2378	yfeA	-	2524274	2526463	16	14	15	29	5	17
SL1344_2379	yfeC	+	2527069	2527431	25	24	24	61	33	37
SL1344_2380	yfeD	+	2527433	2527825	16	14	15	16	6	19
SL1344_2381	gltX	-	2527879	2529294	72	74	73	40	15	29
SL1344_2382	xapR	-	2530110	2530994	5	4	4	6	1	5
SL1344_2383		-	2531046	2531204	4	2	3	6	1	4
SL1344_2384	xapB	-	2531263	2532519	8	7	7	10	8	13
SL1344_2385	flhAb	-	2532574	2533407	1	1	1	1	1	1
SL1344_2386	yfeN	+	2533663	2534424	4	6	5	10	10	10
SL1344_2387	yfeR	-	2534486	2535412	6	4	5	9	2	8
SL1344_2388	yfeH	+	2535502	2536500	16	17	16	12	9	12
SL1344_2389		-	2536497	2536724	34	25	30	31	10	15
SL1344_2390	lig	-	2536717	2538732	24	21	22	25	6	17
SL1344_2391	zipA	-	2538804	2539790	169	154	162	188	133	245
SL1344_2392	cysZ	+	2540022	2540783	23	20	21	22	9	21
SL1344_2393	cysK	+	2540947	2541918	655	546	600	420	732	235
SL1344_2394	ptsH	+	2542302	2542559	587	580	583	342	83	102
SL1344_2395	ptsI	+	2542608	2544335	376	340	358	211	70	116
SL1344_2396	crr	+	2544376	2544885	668	617	643	443	202	277
SL1344_2397		-	2545034	2545273	16	12	14	7	3	15
SL1344_2398	pdxK	-	2545270	2546136	15	11	13	8	5	14
SL1344_2399	ptsJ	+	2546219	2547511	7	8	7	7	3	9
SL1344_2400	yfeJ	+	2547526	2548245	7	7	7	5	2	4
SL1344_2401	yfeK	+	2548304	2548684	13	8	10	6	3	11
SL1344_2402	yfeL	+	2548697	2549236	39	34	36	67	22	25
SL1344_2403	cysM	-	2549367	2550278	62	67	65	30	6	21
SL1344_2404	cysA	-	2550346	2551443	191	177	184	123	64	33
SL1344_2405	cysW	-	2551433	2552308	174	162	168	129	111	62
SL1344_2406	cysU	-	2552308	2553141	157	157	157	154	309	105
SL1344_2407	cysP	-	2553141	2554157	166	130	148	136	412	132
SL1344_2408	ucpA	-	2554315	2555106	26	23	25	28	29	20
SL1344_2409		-	2555344	2556243	27	29	28	22	10	16
SL1344_2410	yfeY	-	2556338	2556913	22	20	21	30	2	13
SL1344_2411	yfeZ	-	2556975	2557424	33	38	35	33	5	18
SL1344_2412		-	2557411	2557836	51	38	45	40	10	26
SL1344_2413	amiA	+	2558049	2558918	11	12	12	11	41	17
SL1344_2414	hemF	+	2558921	2559820	10	8	9	12	2	7
SL1344_2415		+	2559841	2560170	17	18	17	39	15	44
SL1344_2416		+	2560299	2561576	5	5	5	6	3	7
SL1344_2417	eutR	-	2561776	2562828	7	7	7	10	2	5
SL1344_2418	eutK	-	2562876	2563370	8	3	6	12	1	6
SL1344_2419	eutL	-	2563383	2564042	8	3	6	10	1	2
SL1344_2420	eutC	-	2564052	2564948	3	2	3	6	1	2
SL1344_2421	eutB	-	2564967	2566328	3	2	3	4	0	2
SL1344_2422	eutA	-	2566340	2567743	3	2	3	5	0	3
SL1344_2423	eutH	-	2567740	2568966	6	5	5	11	2	8
SL1344_2424	eutG	-	2569086	2570273	1	1	1	1	0	0
SL1344_2425	eutJ	-	2570263	2571102	1	1	1	2	1	1
SL1344_2426	eutE	-	2571113	2572516	1	1	1	1	0	1
SL1344_2427	eutN	-	2572528	2572827	1	0	1	0	0	0
SL1344_2428	eutM	-	2572928	2573218	2	2	2	1	1	1
SL1344_2429	eutD	-	2573259	2574275	1	0	1	0	0	0
SL1344_2430	eutT	-	2574272	2575075	0	0	0	0	0	0
SL1344_2431	eutQ	-	2575072	2575761	0	0	0	0	0	0
SL1344_2432	eutP	-	2575739	2576218	0	0	0	0	0	0
SL1344_2433	eutS	-	2576231	2576566	0	0	0	0	0	0
SL1344_2434	tnpA_1b	-	2577047	2577505	0	0	0	0	0	0
SL1344_2435	maeB	-	2577695	2579974	30	30	30	24	15	17
SL1344_2436	tal	+	2580246	2581196	49	48	49	111	8	23
SL1344_2437	tktB	+	2581216	2583216	42	34	38	87	10	20
SL1344_2438		-	2583279	2583509	95	102	98	113	17	37
SL1344_2439	ypfG	-	2583637	2584680	9	10	9	7	1	6
SL1344_2440	yffH	-	2584805	2585380	36	34	35	26	5	30
SL1344_2441		+	2585584	2586882	12	13	13	12	12	21
SL1344_2442	aegA	-	2587331	2589292	1	3	2	2	1	2
SL1344_2443	narQ	+	2589478	2591178	2	2	2	3	2	3
SL1344_2444	acrD	+	2591363	2594476	5	3	4	6	1	4
SL1344_2444A	ypfM	-	2594578	2594637	117	116	117	268	20769	302
SL1344_2445	yffB	+	2595050	2595406	22	19	20	14	16	13
SL1344_2446	dapE	+	2595410	2596537	42	36	39	33	20	25
SL1344_2447		+	2596565	2596765	59	43	51	49	23	40
SL1344_2448	ypfI	-	2596792	2598810	12	10	11	15	4	9
SL1344_2449		-	2598826	2599689	33	27	30	50	33	30
SL1344_2450	purC	-	2599820	2600533	212	185	199	78	20	7
SL1344_2451	nlpB	-	2600708	2601742	148	129	138	105	33	101
SL1344_2452	dapA	-	2601759	2602637	210	187	199	158	44	149
SL1344_2453	gcvR	+	2602783	2603355	71	59	65	45	23	87
SL1344_2454	bcp	+	2603355	2603825	191	152	172	91	53	153
SL1344_2455		-	2603872	2604114	8	4	6	7	3	4
SL1344_2456	perM	-	2604412	2605479	25	25	25	28	6	22
SL1344_2457		+	2605687	2607150	29	30	29	43	14	29
SL1344_2458	yfgD	+	2607190	2607549	48	48	48	71	19	30
SL1344_2459	yfgE	-	2607576	2608301	59	50	54	60	4	40
SL1344_2460	uraA	-	2608372	2609661	27	25	26	15	13	5
SL1344_2461	upp	-	2609749	2610375	92	83	88	47	16	22
SL1344_2462	purM	+	2610774	2611826	199	173	186	64	19	11
SL1344_2463	purN	+	2611826	2612464	129	133	131	57	11	17
SL1344_2464	ppk	+	2612653	2614719	40	38	39	42	12	55
SL1344_2465	ppx	+	2614724	2616265	34	30	32	35	9	34
SL1344_2466		-	2616301	2618514	4	5	4	8	2	8
SL1344_2467		-	2618819	2619079	5	2	3	7	2	6
SL1344_2468		+	2618927	2619118	76	98	87	59	32	58
SL1344_2469		+	2619659	2619988	18	12	15	24	6	46
SL1344_2470		-	2620008	2620364	2	2	2	1	0	0
SL1344_2471	guaA	-	2620521	2622098	104	100	102	68	16	10
SL1344_2472	guaB	-	2622168	2623634	100	96	98	91	8	13
SL1344_2473	xseA	+	2623795	2625144	36	36	36	28	3	25
SL1344_2474	shdA	-	2625306	2631425	3	2	3	3	1	2
SL1344_2475	ratB	-	2632119	2639425	5	5	5	6	2	5
SL1344_2477	ratA	-	2639591	2645188	8	8	8	15	4	9
SL1344_2478	sinI	-	2645308	2646267	1	1	1	3	1	2
SL1344_2479	sinH	-	2646325	2648517	2	1	1	3	3	3
SL1344_2480	yfgJ	-	2648863	2649084	37	34	36	33	12	15
SL1344_2481	engA	-	2649173	2650645	46	38	42	27	6	10
SL1344_2482	yfgL	-	2650764	2651942	155	160	158	147	69	116
SL1344_2483	yfgM	-	2651953	2652573	93	85	89	76	9	39
SL1344_2484	hisS	-	2652587	2653861	89	93	91	70	15	39
SL1344_2485	gcpE	-	2653972	2655090	99	92	95	91	19	76
SL1344_2486	yfgA	-	2655117	2656121	97	80	89	96	33	78
SL1344_2487	yfgB	-	2656413	2657579	57	50	53	23	6	9
SL1344_2488	ndk	-	2657786	2658217	186	169	178	102	31	33
SL1344_2489		-	2658338	2659201	2	1	1	2	0	1
SL1344_2490		-	2659201	2660010	2	1	1	2	0	1
SL1344_2491		-	2660003	2660632	0	1	1	1	0	1
SL1344_2492		-	2660629	2663007	2	2	2	4	1	3
SL1344_2493	pbpC	-	2663163	2665478	5	5	5	4	2	4
SL1344_2494		-	2665479	2670413	22	22	22	28	7	20
SL1344_2495		+	2670622	2671464	29	24	26	46	26	17
SL1344_2496		+	2671711	2672379	10	9	10	12	5	11
STnc2070		-	2672567	2672469	1513	1665	1589	1946	1098	1780
RyfA		+	2672651	2672944	357	318	338	385	364	202
SL1344_2497	sseBb	-	2672948	2673733	28	22	25	15	3	22
SL1344_2498	pepB	-	2673834	2675117	39	31	35	25	17	21
SL1344_2499	yfhJ	-	2675364	2675564	176	159	167	110	33	117
SL1344_2500	fdx	-	2675576	2675911	160	126	143	90	11	121
SL1344_2501	hscA	-	2675913	2677763	72	57	65	54	7	113
SL1344_2502	hscB	-	2677776	2678291	79	61	70	64	12	125
SL1344_2503	iscA	-	2678487	2678810	440	310	375	297	112	486
SL1344_2504	nifU	-	2678839	2679225	257	173	215	238	110	321
SL1344_2505	iscS	-	2679253	2680467	179	130	155	150	78	237
SL1344_2506	yfhP	-	2680648	2681142	180	133	157	211	205	287
SL1344_2507		-	2681302	2682033	62	53	58	69	130	52
SL1344_2508	suhB	+	2682152	2682955	127	126	126	143	9	64
SL1344_2509		+	2683100	2683978	5	4	4	4	1	4
SL1344_2510	asrA	+	2684160	2685203	3	3	3	4	1	12
SL1344_2511	asrB	+	2685207	2686025	3	3	3	2	2	7
SL1344_2512	asrC	+	2686036	2687049	4	3	4	4	3	7
SL1344_2513		-	2687050	2688036	16	14	15	23	4	18
SL1344_2514		-	2688027	2688665	12	11	11	14	2	11
SL1344_2515	csiE	+	2688791	2690068	6	5	5	14	3	7
SL1344_2516	hcaT	-	2690063	2691202	19	25	22	14	5	6
SL1344_2517	glyA	-	2691398	2692651	347	343	345	119	75	88
SL1344_2518	hmpA	+	2692976	2694166	13	13	13	4	5	287
SL1344_2519	cadC	+	2694348	2695892	27	28	28	34	8	27
SL1344_2520	cadB	+	2696253	2697584	1	1	1	1	0	1
SL1344_2521	cadA	+	2697730	2699811	32	24	28	24	9	9
SL1344_2522	yjdL	+	2699867	2701327	14	11	12	14	3	6
SL1344_2523	glnB	-	2701376	2701714	210	179	194	115	55	140
SL1344_2524	yfhA	-	2701791	2703128	36	33	34	31	4	29
SL1344_2525	yfhG	-	2703125	2703889	43	39	41	53	13	49
SL1344_2526	yfhK	-	2703891	2705333	27	28	27	37	14	35
GlmY		-	2705564	2705381	7589	8508	8048	3973	3200	1660
SL1344_2527	purG	-	2705971	2709858	72	67	70	32	17	5
SL1344_2529	yfhD	+	2710114	2711658	25	22	24	27	3	12
SL1344_2530	yfhC	-	2711709	2712260	33	30	31	54	7	35
SL1344_2531	yfhB	-	2712285	2712920	39	37	38	54	19	33
SL1344_2532		-	2712924	2714285	6	6	6	8	3	7
SL1344_2533	murQ	-	2714296	2715189	5	4	5	3	2	3
SL1344_2534	yfhH	+	2715305	2716153	8	6	7	6	3	5
SL1344_2535		-	2716192	2717058	7	8	7	7	4	10
SL1344_2536		-	2717131	2718327	1	1	1	2	1	1
SL1344_2537		+	2718443	2719369	1	1	1	1	2	2
SL1344_2538	yfhL	+	2719407	2719667	60	50	55	36	3	19
SL1344_2539	acpS	-	2719779	2720159	66	71	68	23	13	22
SL1344_2540	pdxJ	-	2720159	2720890	41	39	40	21	13	19
SL1344_2541	recO	-	2720902	2721630	50	54	52	42	10	26
SL1344_2542	era	-	2721642	2722547	58	56	57	51	8	32
SL1344_2543	rnc	-	2722544	2723146	86	81	84	110	26	72
SL1344_2544	lepB	-	2723498	2724472	112	112	112	98	22	49
SL1344_2545	lepA	-	2724489	2726288	95	83	89	71	12	31
SL1344_2546	gogB	+	2726744	2728186	75	72	73	71	8	73
SL1344_2547		+	2729142	2729588	579	405	492	2360	14	31
STnc1380		-	2729701	2729634	729	446	587	323	608	565
SL1344_2548		-	2730253	2730318	14	10	12	6	1	15
SL1344_2549		+	2730700	2730927	85	68	76	183	23	24
SL1344_2550		-	2731024	2731602	0	1	1	1	1	2
SL1344_2551		-	2731592	2732416	1	1	1	2	1	4
SL1344_2552		-	2732413	2734785	1	1	1	2	0	2
SL1344_2552A		-	2734839	2735081	1	2	1	2	1	11
SL1344_2553		-	2735120	2738482	1	1	1	1	0	3
SL1344_2554		-	2738544	2739191	1	2	1	1	0	2
SL1344_2555		-	2739089	2739826	2	3	2	3	2	4
SL1344_2556		-	2739833	2740534	4	5	5	5	1	6
SL1344_2557		-	2740541	2740870	6	10	8	5	6	10
SL1344_2558		-	2740873	2743968	3	2	3	2	2	3
STnc3770		+	2743288	2743373	92	64	78	72	69	143
SL1344_2559		-	2743940	2744257	2	1	1	1	0	3
SL1344_2560		-	2744275	2744670	1	1	1	1	1	4
SL1344_2561		-	2744721	2745467	7	7	7	9	5	10
SL1344_2562		-	2745475	2745876	5	3	4	6	3	9
SL1344_2563	gipA	+	2745865	2747115	460	339	400	281	434	590
SL1344_2564		-	2747164	2747742	5	3	4	4	2	5
SL1344_2565		-	2747770	2748153	10	9	9	10	5	12
SL1344_2566		-	2748164	2748523	4	3	3	5	2	6
SL1344_2567		-	2748581	2749609	6	4	5	6	4	12
SL1344_2568		-	2749664	2750011	6	4	5	5	4	14
SL1344_2569		-	2750024	2751472	2	1	2	3	1	6
SL1344_2570		-	2751510	2753090	3	3	3	4	2	5
SL1344_2571		-	2753087	2753290	2	1	1	5	0	3
SL1344_2572		-	2753274	2755205	2	2	2	2	1	3
SL1344_2573		-	2755177	2755722	0	1	0	1	2	4
SL1344_2574		+	2756009	2756410	14	15	15	18	18	27
STnc1920		+	2756549	2756646	140	138	139	193	112	270
SL1344_2575		-	2756646	2757119	1	1	1	2	1	3
SL1344_2576		-	2757116	2757568	2	1	1	2	1	2
SL1344_2577		+	2758157	2758843	19	12	16	13	5	51
IsrI		-	2759265	2759018	26	36	31	78	22	67
STnc2080		-	2759518	2759410	2084	2081	2083	4278	1735	1989
IsrJ		-	2759717	2759646	642	491	566	845	1396	975
SL1344_2578		-	2759753	2760316	9	9	9	6	2	11
STnc1160		-	2760451	2760372	13123	13195	13159	7689	9444	7014
IsrK		-	2760556	2760480	1789	1468	1629	608	368	727
SL1344_2579		-	2760589	2761266	1	1	1	1	0	2
SL1344_2580		-	2761263	2761403	0	0	0	0	0	1
SL1344_2581		-	2761400	2762011	0	0	0	0	0	0
SL1344_2582		-	2762220	2762822	17	22	20	40	90	66
SL1344_2583		-	2762857	2763105	41	37	39	39	1245	311
SL1344_2584		-	2763222	2763455	37	39	38	50	3166	566
SL1344_2585		-	2763714	2763905	99	72	86	145	127	278
SL1344_2586		-	2764017	2764298	8	6	7	6	2	11
SL1344_2587		-	2764291	2764944	3	4	3	3	1	6
SL1344_2588		-	2764947	2765417	3	1	2	1	0	3
SL1344_2589		-	2765419	2766084	1	1	1	1	1	1
SL1344_2590	gpP	-	2766099	2766791	2	1	1	1	0	1
SL1344_2591	gpO	-	2766788	2767693	2	1	2	2	4	5
STnc1390		+	2767704	2767767	2037	1604	1821	1651	4303	3447
SL1344_2592	cIIa	-	2767785	2768207	1	1	1	2	2	2
SL1344_2593		+	2768450	2768833	219	238	229	211	433	444
SL1344_2594		+	2768985	2770070	254	259	257	230	83	717
SL1344_2595		-	2770178	2770384	29	29	29	58	114	37
SL1344_2596		+	2770636	2770791	1	2	1	4	5	10
STnc1400		-	2771060	2770951	1085	1314	1199	1012	1279	907
SL1344_2597	recEb	+	2771095	2774295	0	1	1	1	1	2
SL1344_2597A		+	2774306	2775415	0	0	0	0	1	1
SL1344_2598		+	2775458	2775697	0	0	0	0	0	1
SL1344_2599		+	2775738	2776022	1	3	2	2	2	5
SL1344_2600		-	2776000	2777229	8	9	8	7	3	6
SL1344_2601	rseC	-	2777727	2778206	38	33	36	88	5	23
SL1344_2602	rseB	-	2778203	2779159	62	56	59	169	15	43
SL1344_2603	rseA	-	2779159	2779809	110	98	104	305	31	62
SL1344_2604	rpoE	-	2779841	2780416	142	118	130	551	69	100
SL1344_2605	nadB	+	2780841	2782463	38	31	34	8	6	22
SL1344_2606	yfiC	-	2782448	2783185	26	28	27	19	4	13
SL1344_2607	srmB	+	2783316	2784650	34	33	33	22	10	15
SL1344_2608	yfiE	-	2784668	2785567	7	9	8	10	28	19
SL1344_2609	yfiK	+	2785670	2786257	8	6	7	11	6	7
SL1344_2610	yfiD	-	2786319	2786702	43	63	53	41	9	21
SL1344_2611	ung	+	2787021	2787710	67	63	65	87	45	73
SL1344_2612	yfiF	-	2787826	2788863	33	25	29	23	3	18
SL1344_2613	trxC	+	2789067	2789486	120	168	144	116	2645	183
SL1344_2614	yfiP	+	2789559	2790239	23	24	24	20	21	13
SL1344_2615	yfiQ	+	2790293	2792953	15	14	15	24	5	13
SL1344_2616	pssA	+	2793068	2794423	62	67	64	49	9	31
SL1344_2617	yfiM	+	2794468	2794791	14	17	15	10	0	6
SL1344_2618	kgtP	-	2794788	2796089	9	8	8	22	7	23
SL1344_2619		-	2796193	2796648	15	11	13	32	3	13
SL1344_2620	clpB	-	2802529	2805102	636	840	738	1072	1517	797
SL1344_2621	yfiH	-	2805232	2805963	123	113	118	139	33	60
SL1344_2622	rluD	-	2805960	2806940	218	221	219	213	88	45
SL1344_2623	yfiO	+	2807072	2807809	100	104	102	64	19	46
STnc3160		-	2807900	2807810	122	81	102	73	31	191
SL1344_2624	yfiA	+	2808081	2808419	230	165	198	246	5115	645
STnc2090		+	2808306	2808464	390	377	383	641	4074	1365
sRNA3		+	2808504	2808645	699	860	780	849	930	2081
SL1344_2625	pheA	+	2808670	2809830	23	25	24	14	28	33
SL1344_2626		-	2809791	2810699	18	18	18	41	6	10
STnc3790		+	2810663	2810737	16	20	18	26	101	77
SL1344_2627	tyrA	-	2810757	2811824	202	182	192	72	147	53
SL1344_2628	aroF	-	2811888	2812958	259	295	277	101	308	53
SL1344_2629	yfiR	+	2813398	2813916	18	28	23	19	11	15
SL1344_2630	yfiN	+	2813909	2815129	10	11	10	10	2	8
SL1344_2631	int	-	2815382	2816431	62	60	61	40	11	59
SL1344_2632		-	2816456	2816794	106	92	99	47	14	113
SL1344_2633		-	2816803	2817648	51	48	49	25	6	45
SL1344_2634		+	2817762	2818115	0	0	0	1	0	0
SL1344_2635	cIIb	+	2818166	2818675	1	0	1	1	0	0
SL1344_2636		+	2818683	2818883	1	0	1	1	0	0
SL1344_2637		+	2818847	2819185	0	0	0	0	0	0
SL1344_2638		+	2819253	2819480	1	0	0	0	0	0
SL1344_2639		+	2819480	2819704	0	0	0	0	0	1
SL1344_2640		+	2819701	2820222	1	0	1	1	0	1
SL1344_2641		+	2820291	2823074	1	1	1	1	0	1
SL1344_2642	gpF	+	2823088	2823573	24	33	29	46	2	6
SL1344_2643	gpD	+	2823570	2824736	7	6	7	7	1	4
SL1344_2644		+	2824931	2825620	27	19	23	13	18	26
STnc3800		-	2825000	2824672	164	146	155	276	340	265
SL1344_2645	gpB	+	2825697	2825915	38	37	37	44	43	81
SL1344_2646	rpl19	-	2826061	2826408	1128	1071	1099	256	400	104
SL1344_2647	trmD	-	2826449	2827216	563	415	489	74	28	19
SL1344_2648	rimM	-	2827261	2827809	782	664	723	109	29	36
SL1344_2649	rps16	-	2827828	2828076	847	1021	934	208	79	43
SL1344_2650	ffh	-	2828390	2829751	56	50	53	48	31	32
SL1344_2651	corE	+	2829917	2830708	48	56	52	37	8	32
SL1344_2652	corB	+	2830773	2832014	32	34	33	18	4	21
STnc4230		+	2831934	2832038	177	190	184	146	71	200
SL1344_2653		+	2832135	2832740	25	17	21	32	13	33
SL1344_2654	grpE	-	2832775	2833365	390	328	359	221	92	229
SL1344_2655	ppnK	+	2833488	2834366	22	18	20	28	11	25
SL1344_2656	recN	+	2834452	2836113	19	19	19	19	433	99
SL1344_2657	smpA	+	2836262	2836600	161	191	176	162	208	166
SL1344_2658	rnfH	-	2836766	2837056	65	56	61	65	46	58
SL1344_2659	yfjG	-	2837046	2837501	110	96	103	102	155	110
SL1344_2660	smpB	+	2837672	2838154	102	105	104	61	35	94
SL1344_2661	bapA	+	2838768	2850242	3	2	2	5	1	2
SL1344_2662		+	2850307	2851716	2	1	1	2	0	1
IsrL		-	2850588	2850244	13	13	13	10	8	17
STnc3070		-	2851225	2851166	154	183	168	317	737	575
SL1344_2663		+	2851713	2853893	2	2	2	2	0	1
SL1344_2664		+	2853901	2855064	3	3	3	4	1	2
SL1344_2665		-	2855616	2855834	11	7	9	18	10	13
SL1344_2666		-	2855903	2857003	2	1	2	2	0	2
SL1344_2667	gpU	-	2857000	2857485	1	1	1	1	0	2
SL1344_2668		-	2857482	2860289	1	1	1	1	0	1
SL1344_2669	gpE'	-	2860282	2860401	0	4	2	1	0	1
SL1344_2670	gpE	-	2860416	2860718	0	2	1	3	2	3
SL1344_2671		-	2860773	2861288	1	0	1	0	0	0
SL1344_2672		-	2861298	2862470	1	1	1	0	0	1
SL1344_2673		-	2862587	2862790	3	2	2	2	0	1
SL1344_2674	sopE	+	2863004	2863726	3	3	3	16	6	53
SL1344_2675		-	2863923	2864330	4	6	5	5	1	4
SL1344_2676		-	2864337	2865956	1	2	2	1	1	1
SL1344_2677	gpI	-	2865953	2866558	2	1	1	1	0	1
SL1344_2678	gpJ	-	2866551	2867459	1	0	0	1	0	0
SL1344_2679	gpW	-	2867446	2867805	0	0	0	0	0	0
SL1344_2680		-	2867802	2868380	0	0	0	0	0	0
SL1344_2681		-	2868449	2868895	1	0	1	0	0	0
SL1344_2682		-	2868888	2869319	0	0	0	0	0	0
SL1344_2683		-	2869282	2869485	0	0	0	0	0	0
SL1344_2684		-	2869415	2869843	1	0	0	1	0	1
SL1344_2685		-	2869840	2870214	1	0	1	1	1	1
SL1344_2686	nucD2	-	2870219	2870689	0	0	0	0	0	0
SL1344_2687	nucE2	-	2870709	2870924	0	0	0	0	0	0
SL1344_2688		-	2870928	2871131	0	0	0	0	0	0
SL1344_2689		-	2871131	2871595	0	0	0	0	0	0
SL1344_2690		-	2871689	2872342	1	0	1	0	0	0
SL1344_2691		-	2872346	2873428	0	0	0	0	0	0
SL1344_2692		-	2873445	2874278	0	0	0	0	0	0
SL1344_2693		+	2874421	2876187	0	0	0	0	0	0
SL1344_2694		+	2876187	2877218	0	1	1	2	0	0
SL1344_2695		-	2877245	2878222	21	21	21	13	10	46
SL1344_2696		-	2878212	2878793	44	36	40	27	36	91
SL1344_2697		-	2879070	2879447	189	164	176	171	48	429
SL1344_2698		-	2879425	2880480	99	83	91	76	76	328
SL1344_2699		-	2880640	2880873	12	12	12	9	301	72
SL1344_2700		-	2880885	2881073	12	14	13	13	611	112
SL1344_2701		-	2881397	2883640	2	1	2	2	1	3
SL1344_2702		-	2883631	2884488	2	1	2	2	1	3
SL1344_2703		-	2884485	2884712	1	0	0	0	0	0
SL1344_2704		-	2885007	2885348	0	1	0	1	0	1
SL1344_2705		-	2885312	2885608	24	15	19	8	2	6
SL1344_2706	cIIc	-	2885953	2886462	1	1	1	1	1	1
SL1344_2707	apl	-	2886495	2886743	1	1	1	1	1	2
SL1344_2708	cI	+	2886920	2887495	40	45	43	20	7	21
SL1344_2709		+	2887497	2888522	20	14	17	13	2	9
SL1344_2710		+	2888519	2889730	27	20	23	17	2	19
SL1344_2712		+	2890073	2891269	9	8	8	13	6	14
SL1344_2713		-	2891273	2892970	35	27	31	33	9	80
SL1344_2714		-	2892957	2893190	34	33	33	26	2	92
SL1344_2715		-	2893177	2893725	36	29	33	36	12	158
SL1344_2716		-	2894442	2895008	1	0	0	1	0	1
SL1344_2717		-	2895025	2895267	6	2	4	2	2	2
SL1344_2718		-	2895264	2896067	3	1	2	2	1	1
SL1344_2719		+	2896802	2897353	2368	2264	2316	650	1259	1503
SL1344_2720		+	2897350	2897577	1	0	1	1	0	1
SL1344_2721		+	2897574	2897894	1	1	1	0	0	1
SL1344_2722		+	2897858	2900242	2	2	2	2	1	2
SL1344_2723		+	2900734	2901979	1	1	1	1	5	1
SL1344_2725		+	2901981	2902619	1	1	1	0	0	0
SL1344_2726		+	2903009	2904202	31	25	28	15	3	38
SL1344_2727		-	2904537	2905364	43	41	42	46	19	193
SL1344_2728		+	2905815	2906030	4	1	3	4	3	2
SL1344_2729		+	2906066	2908135	0	1	1	0	0	0
SL1344_2730		+	2908638	2909921	110	70	90	133	43	214
SL1344_2731		+	2909966	2910784	47	37	42	50	4	74
